###################### UltraGCN Plus Plus ######################
./configs/ultragcn_gowalla_m1.ini
torch.cuda.is_available() True
cuda
load path = ./gowalla_ii_constraint_mat object
load path = ./gowalla_ii_neighbor_mat object
load path = ./gowalla_rec_i_64 object
load path = ./gowalla_rec_u_64 object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_gowalla.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.0001, 'dataset': 'gowalla', 'gpu': '0', 'device': device(type='cuda'), 'lr': 0.0001, 'batch_size': 512, 'early_stop_epoch': 100, 'w1': 1e-06, 'w2': 1.0, 'w3': 1e-06, 'w4': 1.0, 'negative_num': 1500, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.0005, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 29858, 'item_num': 40981}
start load weight
torch.Size([29858, 64])
torch.Size([40981, 64])
cuda
Total training batches = 1583
Loss = 48.10392, F1-score: 0.050327 	 Precision: 0.03344	 Recall: 0.10168	NDCG: 0.08480
The time for epoch 70 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 48.76281, F1-score: 0.050671 	 Precision: 0.03367	 Recall: 0.10237	NDCG: 0.08545
The time for epoch 71 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 46.90263, F1-score: 0.050971 	 Precision: 0.03387	 Recall: 0.10298	NDCG: 0.08634
The time for epoch 72 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 49.85110, F1-score: 0.051507 	 Precision: 0.03424	 Recall: 0.10395	NDCG: 0.08711
The time for epoch 73 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 48.21751, F1-score: 0.051724 	 Precision: 0.03437	 Recall: 0.10448	NDCG: 0.08815
The time for epoch 74 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 50.66824, F1-score: 0.052204 	 Precision: 0.03469	 Recall: 0.10546	NDCG: 0.08894
The time for epoch 75 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 49.67917, F1-score: 0.052897 	 Precision: 0.03514	 Recall: 0.10692	NDCG: 0.08940
The time for epoch 76 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 49.89218, F1-score: 0.053286 	 Precision: 0.03537	 Recall: 0.10799	NDCG: 0.09088
The time for epoch 77 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 48.79310, F1-score: 0.053722 	 Precision: 0.03568	 Recall: 0.10867	NDCG: 0.09163
The time for epoch 78 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 49.84021, F1-score: 0.054165 	 Precision: 0.03596	 Recall: 0.10970	NDCG: 0.09294
The time for epoch 79 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 51.68425, F1-score: 0.054362 	 Precision: 0.03608	 Recall: 0.11024	NDCG: 0.09364
The time for epoch 80 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 50.40026, F1-score: 0.054842 	 Precision: 0.03639	 Recall: 0.11123	NDCG: 0.09450
The time for epoch 81 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 51.80018, F1-score: 0.055336 	 Precision: 0.03673	 Recall: 0.11217	NDCG: 0.09594
The time for epoch 82 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 50.32405, F1-score: 0.055788 	 Precision: 0.03701	 Recall: 0.11328	NDCG: 0.09730
The time for epoch 83 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 52.38982, F1-score: 0.056260 	 Precision: 0.03731	 Recall: 0.11431	NDCG: 0.09912
The time for epoch 84 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 50.83431, F1-score: 0.056644 	 Precision: 0.03754	 Recall: 0.11530	NDCG: 0.09978
The time for epoch 85 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 51.13162, F1-score: 0.057118 	 Precision: 0.03785	 Recall: 0.11632	NDCG: 0.10078
The time for epoch 86 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 51.90670, F1-score: 0.057799 	 Precision: 0.03831	 Recall: 0.11769	NDCG: 0.10187
The time for epoch 87 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 53.49470, F1-score: 0.058078 	 Precision: 0.03848	 Recall: 0.11832	NDCG: 0.10257
The time for epoch 88 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 55.80415, F1-score: 0.058617 	 Precision: 0.03883	 Recall: 0.11952	NDCG: 0.10398
The time for epoch 89 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 53.23530, F1-score: 0.059061 	 Precision: 0.03912	 Recall: 0.12050	NDCG: 0.10515
The time for epoch 90 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 56.44106, F1-score: 0.059432 	 Precision: 0.03936	 Recall: 0.12130	NDCG: 0.10552
The time for epoch 91 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 54.93833, F1-score: 0.059840 	 Precision: 0.03961	 Recall: 0.12234	NDCG: 0.10675
The time for epoch 92 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 52.34624, F1-score: 0.060403 	 Precision: 0.03997	 Recall: 0.12360	NDCG: 0.10773
The time for epoch 93 is: train time = 00: 00: 59, test time = 00: 00: 08
Loss = 54.42767, F1-score: 0.060822 	 Precision: 0.04023	 Recall: 0.12464	NDCG: 0.10891
The time for epoch 94 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 53.31507, F1-score: 0.061280 	 Precision: 0.04052	 Recall: 0.12571	NDCG: 0.10969
The time for epoch 95 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 54.36212, F1-score: 0.061537 	 Precision: 0.04067	 Recall: 0.12635	NDCG: 0.11092
The time for epoch 96 is: train time = 00: 00: 57, test time = 00: 00: 07
